# Simulation 1 (Up to date)
# 641 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,15,0,0,0,0,0,0,0,0,0,0,59.75,17.15,90,0,0,0,90,0,1297.6,201.6,0.487,0.007,9.819,NaN,102.769,NaN,0,0,0,0.594,0.367,0.107,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.988,90,14.902,1011.491,0.001,340.33,0.018,7.066e5,10.16,81.073,0.01,0.001,0
0.01,2.209e-4,15,0.083,0.083,23.077,23.1,-3.508e-5,0,3.508e-5,270,0.009,1.052,59.75,17.15,89.209,0,0,0,90,0,1297.329,201.329,0.487,0.007,9.819,NaN,102.757,NaN,42.676,3.35,6.928e-7,0.594,0.367,0.107,0.12,3.898e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.995,90,14.902,1011.491,0.001,340.33,0.018,7.065e5,10.16,81.073,0.01,0.002,6.205e-6
0.02,0.003,15.003,0.478,0.478,55.986,55.996,-1.754e-4,0,1.754e-4,270,0.019,1.056,59.75,17.15,85.433,0,0,0,90,0,1297.058,201.058,0.487,0.007,9.819,NaN,102.746,NaN,85.353,6.702,1.288e-4,0.594,0.367,0.107,0.12,7.211e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.002,90,14.902,1011.49,0.001,340.33,0.018,7.083e5,10.16,81.073,0.004,0.002,3.523e-5
0.024,0.005,15.005,0.728,0.729,69.153,69.161,-2.61e-4,0,2.61e-4,270,0.024,1.063,59.75,17.15,83.059,0,0,0,90,0,1296.95,200.95,0.487,0.007,9.819,NaN,102.741,NaN,102.423,8.043,4.438e-4,0.594,0.367,0.107,0.12,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.005,90,14.902,1011.49,0.001,340.33,0.018,7.111e5,10.16,81.073,0.006,0.003,5.361e-5
0.03,0.011,15.011,1.163,1.164,75.915,75.923,-4.215e-4,0,4.215e-4,270,0.03,1.084,59.75,17.15,78.99,0,0,0,90,0,1296.509,200.509,0.486,0.007,9.819,NaN,102.723,NaN,111.157,8.732,0.002,0.593,0.366,0.107,0.12,0.009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.009,90,14.902,1011.489,0.001,340.33,0.018,7.189e5,10.16,81.073,0.009,0.003,8.559e-5
# Event LIFTOFF occurred at t=0.039 seconds
0.039,0.024,15.024,1.892,1.893,86.064,86.064,-7.357e-4,0,7.357e-4,270,0.04,0,59.75,17.15,72.429,0,0,0,90,0,1295.848,199.848,0.486,0.007,9.819,NaN,102.695,NaN,124.257,9.766,0.007,0.591,0.364,0.107,0.12,0.035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.016,90,14.902,1011.488,0.001,340.33,0.018,7.397e5,10.16,81.073,0.01,0.004,1.392e-4
0.049,0.048,15.048,2.809,2.81,97.348,97.348,-0.001,0,0.001,270,0.04,0,59.75,17.15,64.848,0,0,0,90,0,1295.113,199.113,0.486,0.007,9.819,NaN,102.664,NaN,138.813,10.916,0.02,0.587,0.36,0.107,0.12,0.093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.023,90,14.902,1011.485,0.001,340.33,0.019,7.8e5,10.16,81.073,0.01,0.004,2.065e-4
0.059,0.081,15.081,3.839,3.839,108.635,108.635,-0.002,0,0.002,270,0.04,0,59.75,17.15,57.216,0,0,0,90,0,1294.378,198.378,0.486,0.007,9.819,NaN,102.633,NaN,153.369,12.067,0.045,0.582,0.355,0.107,0.12,0.182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.001,90,14.902,1011.481,0.001,340.329,0.021,8.367e5,10.16,81.073,0.01,0.005,2.821e-4
0.069,0.125,15.125,4.982,4.982,119.922,119.922,-0.002,0,0.002,270,0.04,0,59.75,17.15,49.991,0,0,0,90,0,1293.644,197.644,0.486,0.007,9.819,NaN,102.601,NaN,167.925,13.22,0.086,0.575,0.349,0.107,0.12,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.976,90,14.902,1011.476,0.001,340.329,0.023,9.145e5,10.16,81.073,0.005,0.005,3.661e-4
0.074,0.151,15.151,5.596,5.596,125.565,125.565,-0.002,0,0.002,270,0.04,0,59.75,17.15,46.626,0,0,0,90,0,1293.276,197.276,0.485,0.007,9.819,NaN,102.586,NaN,175.203,13.797,0.114,0.572,0.345,0.107,0.12,0.346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.963,90,14.902,1011.473,0.001,340.329,0.024,9.615e5,10.16,81.073,0.007,0.006,4.112e-4
0.081,0.197,15.197,6.54,6.54,126.304,126.304,-0.002,-5.073e-9,0.002,270,0.04,0,59.75,17.15,42.072,0,0,0,90,0,1292.569,196.569,0.485,0.007,9.819,NaN,102.556,NaN,176.111,13.876,0.163,0.567,0.34,0.107,0.12,0.423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.944,90,14.901,1011.468,0.001,340.329,0.026,1.04e6,10.16,81.073,0.01,0.006,4.806e-4
0.091,0.269,15.269,7.808,7.808,127.281,127.281,-0.003,-5.998e-9,0.003,270,0.04,0,59.75,17.15,36.973,0,0,0,90,0,1291.625,195.625,0.485,0.007,9.819,NaN,102.516,NaN,177.322,13.982,0.241,0.56,0.333,0.107,0.12,0.508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.918,90,14.901,1011.459,0.001,340.329,0.029,1.153e6,10.16,81.073,0.01,0.007,5.737e-4
0.101,0.353,15.353,9.086,9.086,128.25,128.25,-0.003,-6.923e-9,0.003,270,0.04,0,59.75,17.15,32.797,0,0,0,90,0,1290.682,194.682,0.485,0.007,9.819,NaN,102.475,NaN,178.533,14.088,0.331,0.553,0.326,0.107,0.12,0.571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.895,90,14.9,1011.449,0.001,340.328,0.032,1.276e6,10.16,81.073,0.01,0.007,6.676e-4
0.111,0.45,15.45,10.373,10.373,129.211,129.211,-0.004,-7.848e-9,0.004,270,0.04,0,59.75,17.15,29.387,0,0,0,90,0,1289.738,193.738,0.484,0.007,9.819,NaN,102.435,NaN,179.744,14.193,0.432,0.547,0.32,0.107,0.12,0.615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.882,90,14.9,1011.438,0.001,340.328,0.035,1.405e6,10.16,81.073,0.01,0.007,7.622e-4
0.121,0.561,15.561,11.67,11.67,130.166,130.166,-0.004,-8.772e-9,0.004,270,0.04,0,59.75,17.15,26.543,0,0,0,90,0,1288.795,192.795,0.484,0.007,9.819,NaN,102.395,NaN,180.955,14.3,0.544,0.542,0.315,0.107,0.12,0.644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.869,90,14.899,1011.425,0.001,340.328,0.038,1.539e6,10.16,81.073,0.004,0.008,8.574e-4
0.125,0.602,15.602,12.126,12.126,130.499,130.499,-0.004,-9.096e-9,0.004,270,0.04,0,59.75,17.15,25.657,0,0,0,90,0,1288.464,192.464,0.484,0.007,9.819,NaN,102.381,NaN,181.379,14.337,0.585,0.54,0.313,0.107,0.12,0.652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.865,90,14.899,1011.42,0.001,340.327,0.04,1.587e6,10.16,81.073,0.005,0.008,8.91e-4
0.13,0.668,15.668,12.811,12.811,130.336,130.336,-0.004,-9.581e-9,0.004,270,0.04,0,59.75,17.15,24.426,0,0,0,90,0,1287.963,191.963,0.484,0.007,9.819,NaN,102.359,NaN,181.163,14.325,0.649,0.537,0.31,0.107,0.12,0.661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.858,90,14.898,1011.412,0.001,340.327,0.041,1.66e6,10.16,81.073,0.008,0.009,9.413e-4
0.138,0.773,15.773,13.836,13.836,130.089,130.089,-0.005,-1.031e-8,0.005,270,0.04,0,59.75,17.15,22.772,0,0,0,90,0,1287.212,191.212,0.484,0.007,9.819,NaN,102.327,NaN,180.839,14.308,0.749,0.534,0.307,0.107,0.12,0.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.848,90,14.897,1011.4,0.001,340.327,0.044,1.771e6,10.16,81.073,0.01,0.009,0.001
0.148,0.918,15.918,15.136,15.136,129.769,129.769,-0.005,-1.123e-8,0.005,270,0.04,0,59.75,17.15,20.952,0,0,0,90,0,1286.257,190.257,0.483,0.007,9.819,NaN,102.286,NaN,180.428,14.286,0.882,0.529,0.302,0.107,0.12,0.677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.835,90,14.897,1011.383,0.001,340.326,0.048,1.912e6,10.16,81.073,0.01,0.01,0.001
0.158,1.075,16.075,16.432,16.432,129.443,129.443,-0.005,-1.216e-8,0.005,270,0.04,0,59.75,17.15,19.542,0,0,0,90,0,1285.303,189.303,0.483,0.007,9.819,NaN,102.245,NaN,180.016,14.264,1.022,0.525,0.298,0.107,0.12,0.678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.872,90,14.896,1011.365,0.001,340.326,0.051,2.057e6,10.16,81.073,0.01,0.01,0.001
0.168,1.246,16.246,17.725,17.725,129.111,129.111,-0.006,-1.308e-8,0.006,270,0.04,0,59.75,17.15,18.355,0,0,0,90,0,1284.349,188.349,0.483,0.007,9.819,NaN,102.204,NaN,179.605,14.242,1.17,0.522,0.294,0.107,0.12,0.677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.921,90,14.894,1011.345,0.001,340.325,0.055,2.204e6,10.16,81.073,0.008,0.01,0.001
0.176,1.39,16.39,18.74,18.74,128.846,128.846,-0.006,-1.381e-8,0.006,270,0.04,0,59.75,17.15,17.528,0,0,0,90,0,1283.597,187.597,0.482,0.007,9.819,NaN,102.172,NaN,179.281,14.225,1.291,0.519,0.292,0.107,0.12,0.674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.959,90,14.893,1011.328,0.001,340.324,0.058,2.319e6,10.16,81.073,0.01,0.011,0.001
0.186,1.576,16.576,19.979,19.979,129.146,129.146,-0.007,-1.47e-8,0.007,270,0.04,0,59.75,17.15,16.624,0,0,0,90,0,1282.68,186.68,0.482,0.007,9.819,NaN,102.133,NaN,179.692,14.267,1.445,0.516,0.288,0.107,0.12,0.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.005,90,14.892,1011.306,0.001,340.324,0.061,2.46e6,10.16,81.073,0.009,0.011,0.001
0.195,1.761,16.761,21.144,21.144,129.425,129.425,-0.007,-1.553e-8,0.007,270,0.04,0,59.75,17.15,15.864,0,0,0,90,0,1281.821,185.821,0.482,0.007,9.819,NaN,102.095,NaN,180.078,14.308,1.593,0.513,0.286,0.107,0.121,0.665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.049,90,14.891,1011.284,0.001,340.323,0.065,2.594e6,10.16,81.073,0.009,0.012,0.002
# Event LAUNCHROD occurred at t=0.203 seconds
0.203,1.946,16.946,22.247,22.247,129.687,129.986,-0.007,-1.632e-8,0.007,270,0.04,8.806,59.75,17.15,15.118,0,0,0,90,0,1281.008,185.008,0.482,0.007,9.819,117.52,102.06,1.522,180.443,14.346,1.734,0.511,0.283,0.107,0.121,0.659,4.284,6.518,-1.074e-4,0,0,0,0,0,6.05,90,14.89,1011.263,0.001,340.322,0.068,2.719e6,10.16,81.073,0.013,0.012,0.002
0.216,2.24,17.24,23.906,23.906,130.096,130.388,-0.009,-1.829e-8,0.009,270,0.152,8.72,59.75,17.15,13.613,0,2.717,1.364e-5,89.983,90,1279.789,183.789,0.481,0.007,9.819,118.342,102.008,1.608,180.99,14.403,1.932,0.508,0.28,0.107,0.121,0.644,3.737,6.004,-1.504e-4,0,0,0,0,0.005,5.949,90,14.888,1011.228,0.001,340.321,0.072,2.902e6,10.16,81.073,0.01,0.013,0.002
0.226,2.489,17.489,25.222,25.223,130.423,130.704,-0.01,-2.201e-8,0.01,270,0.239,8.559,59.75,17.15,12.526,0,4.953,2.15e-5,89.944,90,1278.825,182.825,0.481,0.007,9.819,118.978,101.966,1.674,181.423,14.448,2.088,0.505,0.277,0.107,0.121,0.631,3.358,5.608,-4.595e-5,0,0,0,0,0.015,5.869,90,14.886,1011.199,0.001,340.32,0.076,3.049e6,10.16,81.073,0.015,0.013,0.002
0.241,2.886,17.886,27.206,27.209,131.496,131.749,-0.015,-3.373e-8,0.015,270,0.366,8.149,59.75,17.15,11.033,0,8.422,-1.081e-4,89.843,90,1277.351,181.351,0.481,0.007,9.819,119.916,101.902,1.773,182.805,14.575,2.325,0.502,0.274,0.107,0.121,0.61,2.859,5.032,-3.072e-4,0,0,0,0,0.037,5.749,90,14.884,1011.152,0.001,340.318,0.081,3.272e6,10.16,81.073,0.017,0.013,0.002
0.258,3.374,18.374,29.48,29.484,132.714,132.927,-0.023,-5.928e-8,0.023,270,0.501,7.53,59.75,17.15,9.597,0,12.473,2.081e-4,89.663,90,1275.678,179.678,0.48,0.007,9.819,120.896,101.829,1.877,184.375,14.72,2.609,0.498,0.27,0.107,0.121,0.587,2.403,4.44,-2.261e-4,0,0,0,0,0.07,5.664,90,14.881,1011.095,0.001,340.317,0.088,3.531e6,10.16,81.073,0.019,0.014,0.002
0.277,3.946,18.946,31.965,31.971,134.024,134.189,-0.033,-1.084e-7,0.033,270,0.633,6.638,59.75,17.15,8.276,0,16.977,3.44e-4,89.389,90.001,1273.866,177.866,0.479,0.007,9.819,121.871,101.75,1.98,186.074,14.876,2.938,0.495,0.267,0.107,0.121,0.566,2.005,3.86,-2.209e-4,0,0,0,0,0.111,5.632,90,14.877,1011.028,0.001,340.314,0.095,3.817e6,10.16,81.073,0.016,0.014,0.002
0.293,4.49,19.49,34.178,34.186,135.116,135.229,-0.044,-1.779e-7,0.044,270,0.734,5.529,59.75,17.15,7.185,0,20.968,3.5e-4,89.077,90.001,1272.227,176.227,0.479,0.007,9.819,122.735,101.678,2.073,187.496,15.009,3.243,0.492,0.264,0.107,0.121,0.549,1.693,3.359,2.532e-4,0,0,0,0,0.149,5.603,90,14.873,1010.964,0.001,340.312,0.101,4.073e6,10.16,81.073,0.017,0.015,0.003
0.31,5.075,20.075,36.428,36.437,136.203,136.263,-0.057,-2.815e-7,0.057,270,0.814,4.039,59.75,17.15,6.105,0,24.902,3.923e-4,88.696,90.001,1270.574,174.574,0.478,0.007,9.819,123.646,101.605,2.169,188.929,15.144,3.563,0.489,0.261,0.107,0.122,0.533,1.398,2.845,1.377e-4,0,0,0,0,0.186,5.551,90,14.87,1010.896,0.001,340.31,0.108,4.333e6,10.16,81.073,0.018,0.015,0.003
0.328,5.752,20.752,38.886,38.896,137.35,137.364,-0.072,-4.41e-7,0.072,270,0.869,2.019,59.75,17.15,4.971,0,28.903,4.267e-4,88.212,90.001,1268.784,172.784,0.478,0.007,9.819,124.669,101.527,2.278,190.483,15.29,3.929,0.487,0.258,0.107,0.122,0.517,1.103,2.292,-2.88e-4,0,0,0,0,0.221,5.477,90,14.865,1010.816,0.001,340.307,0.115,4.619e6,10.16,81.073,0.019,0.015,0.003
0.347,6.509,21.509,41.472,41.481,136.924,136.925,-0.089,-6.702e-7,0.089,270,0.884,0.437,59.75,17.15,3.846,0,32.633,2.442e-4,87.631,90.001,1266.888,170.888,0.477,0.007,9.819,125.756,101.443,2.393,190.116,15.283,4.345,0.485,0.255,0.107,0.122,0.504,0.826,1.729,4.494e-4,0,0,0,0,0.248,5.4,90,14.86,1010.727,0.001,340.304,0.123,4.921e6,10.16,81.073,0.022,0.016,0.003
0.369,7.455,22.455,44.476,44.484,136.333,136.381,-0.108,-1.024e-6,0.108,269.999,0.841,3.615,59.75,17.15,2.682,-2.988e-7,36.168,7.477e-4,86.873,90.001,1264.677,168.677,0.477,0.007,9.819,126.965,101.345,2.522,189.687,15.275,4.878,0.483,0.253,0.108,0.122,0.493,0.557,1.139,4.5e-4,0,0,0,0,0.265,5.365,90,14.854,1010.616,0.001,340.3,0.131,5.273e6,10.16,81.073,0.009,0.016,0.003
0.378,7.867,22.867,45.723,45.73,136.052,136.146,-0.116,-1.2e-6,0.116,269.999,0.801,5.05,59.75,17.15,2.224,-2.972e-7,37.33,3.298e-4,86.537,90.001,1263.756,167.756,0.476,0.007,9.819,127.466,101.304,2.575,189.509,15.272,5.115,0.482,0.252,0.108,0.122,0.489,0.455,0.904,3.596e-4,0,0,0,0,0.267,5.355,90,14.851,1010.568,0.001,340.299,0.135,5.419e6,10.16,81.073,0.014,0.017,0.003
0.392,8.508,23.508,47.585,47.591,135.084,135.28,-0.126,-1.498e-6,0.126,269.999,0.716,7.277,59.75,17.15,1.562,0,38.669,4.45e-5,86.014,90.001,1262.391,166.391,0.476,0.007,9.819,128.216,101.243,2.655,188.608,15.216,5.487,0.481,0.251,0.108,0.123,0.484,0.313,0.567,-6.453e-5,0,0,0,0,0.265,5.338,90,14.847,1010.493,0.001,340.296,0.14,5.638e6,10.16,81.073,0.021,0.017,0.003
0.412,9.517,24.517,50.353,50.355,133.523,133.963,-0.139,-2.012e-6,0.139,269.999,0.53,10.846,59.75,17.15,0.598,0,39.626,4.39e-4,85.205,90,1260.343,164.343,0.475,0.007,9.819,129.369,101.152,2.777,187.256,15.132,6.085,0.48,0.249,0.108,0.123,0.48,0.116,0.075,-3.312e-4,0,0,0,0,0.249,5.284,90,14.841,1010.375,0.001,340.292,0.149,5.964e6,10.16,81.073,0.017,0.017,0.004
0.429,10.375,25.375,52.566,52.567,132.161,132.882,-0.146,-2.484e-6,0.146,269.999,0.325,13.828,59.75,17.15,0.131,0,-39.312,0.003,84.546,90,1258.687,162.687,0.475,0.007,9.819,129.957,101.078,2.842,186.162,15.063,6.608,0.479,0.248,0.108,0.123,0.479,0.025,0.296,1.236e-4,0,0,0,0,-0.225,5.223,90,14.835,1010.274,0.001,340.289,0.155,6.225e6,10.16,81.073,0.025,0.018,0.004
0.454,11.73,26.73,55.849,55.849,130.455,131.746,-0.15,-3.287e-6,0.15,269.999,0.078,18.398,59.75,17.15,1.071,-3.022e-7,-36.871,-1.245e-4,83.589,90.001,1256.238,160.238,0.474,0.007,9.819,128.806,100.968,2.74,185.158,15.011,7.462,0.477,0.246,0.108,0.124,0.479,0.212,0.754,-9.675e-5,0,0,0,0,-0.175,5.142,90,14.826,1010.115,0.001,340.284,0.165,6.614e6,10.16,81.073,0.026,0.018,0.004
0.48,13.226,28.226,59.217,59.22,128.544,130.554,-0.141,-4.291e-6,0.141,269.998,0.615,22.818,59.75,17.15,1.78,0,-31.954,8.521e-4,82.689,90.001,1253.69,157.69,0.473,0.007,9.819,127.987,100.853,2.671,184.114,14.957,8.419,0.476,0.244,0.108,0.124,0.48,0.36,1.078,4.035e-4,0,0,0,0,-0.117,5.119,90,14.817,1009.94,0.001,340.278,0.175,7.014e6,10.16,81.073,0.017,0.019,0.004
0.497,14.264,29.264,61.413,61.422,126.755,129.264,-0.127,-5.052e-6,0.127,269.998,1.03,25.347,59.75,17.15,2.12,0,-27.497,0.001,82.176,90.001,1252.031,156.031,0.472,0.007,9.819,127.608,100.778,2.641,182.801,14.87,9.078,0.475,0.243,0.108,0.124,0.481,0.433,1.224,-2.364e-4,0,0,0,0,-0.08,5.104,90,14.81,1009.818,0.001,340.274,0.181,7.275e6,10.16,81.073,0.014,0.019,0.005
0.511,15.14,30.14,63.185,63.201,125.309,128.205,-0.11,-5.716e-6,0.11,269.997,1.399,27.092,59.75,17.15,2.313,0,-23.234,0.002,81.819,90,1250.675,154.675,0.472,0.007,9.819,127.399,100.717,2.626,181.729,14.798,9.625,0.475,0.242,0.108,0.125,0.482,0.475,1.303,-3.259e-4,0,0,0,0,-0.054,5.095,90,14.804,1009.715,0.001,340.27,0.187,7.487e6,10.16,81.073,0.012,0.02,0.005
0.524,15.937,30.937,64.739,64.763,124.059,127.256,-0.09,-6.318e-6,0.09,269.996,1.745,28.344,59.75,17.15,2.42,0,-19.062,0.001,81.555,90,1249.473,153.473,0.472,0.007,9.819,127.285,100.662,2.62,180.778,14.735,10.113,0.474,0.241,0.109,0.125,0.482,0.499,1.342,-4.706e-5,0,0,0,0,-0.035,5.088,90,14.799,1009.622,0.001,340.267,0.191,7.673e6,10.16,81.073,0.006,0.02,0.005
0.53,16.345,31.345,65.515,65.543,123.447,126.774,-0.079,-6.619e-6,0.079,269.995,1.924,28.855,59.75,17.15,2.451,0,-16.848,0.002,81.443,90,1248.868,152.868,0.471,0.007,9.819,127.253,100.635,2.62,180.3,14.703,10.358,0.474,0.24,0.109,0.125,0.482,0.506,1.352,4.899e-5,0,0,0,0,-0.026,5.085,90,14.796,1009.574,0.001,340.265,0.194,7.766e6,10.16,81.073,0.009,0.02,0.005
0.539,16.967,31.967,66.669,66.706,122.22,125.708,-0.059,-7.056e-6,0.059,269.993,2.198,29.409,59.75,17.15,2.47,0,-13.408,0.002,81.3,90,1247.987,151.987,0.471,0.007,9.819,127.235,100.595,2.622,179.165,14.621,10.727,0.474,0.24,0.109,0.125,0.482,0.51,1.354,-1.164e-4,0,0,0,0,-0.016,5.079,90,14.792,1009.501,0.001,340.263,0.197,7.904e6,10.16,81.073,0.011,0.021,0.005
0.55,17.689,32.689,67.974,68.021,120.86,124.477,-0.034,-7.525e-6,0.034,269.987,2.516,29.787,59.75,17.15,2.451,0,-9.346,0.002,81.178,90,1246.98,150.98,0.471,0.007,9.819,127.259,100.549,2.629,177.87,14.527,11.145,0.473,0.239,0.109,0.125,0.481,0.506,1.337,-3.096e-4,0,0,0,0,-0.008,5.074,90,14.788,1009.416,0.001,340.26,0.201,8.061e6,10.16,81.073,0.01,0.021,0.005
0.561,18.406,33.406,69.23,69.288,119.593,123.26,-0.006,-7.931e-6,0.006,269.925,2.828,29.842,59.75,17.15,2.383,0,-5.323,0.003,81.101,90,1246,150,0.471,0.007,9.819,127.336,100.504,2.641,176.609,14.436,11.549,0.473,0.239,0.109,0.125,0.481,0.491,1.299,-2.37e-4,0,0,0,0,-0.002,5.08,90,14.783,1009.332,0.001,340.257,0.205,8.211e6,10.16,81.073,0.01,0.022,0.005
0.571,19.129,34.129,70.462,70.532,118.386,122.036,0.025,-8.263e-6,0.025,90.019,3.136,29.624,59.75,17.15,2.278,0,-1.332,0.003,81.067,90,1245.029,149.029,0.47,0.007,9.819,127.454,100.46,2.657,175.359,14.345,11.947,0.473,0.238,0.109,0.126,0.48,0.468,1.243,2.716e-4,0,0,0,0,-1.428e-4,5.086,90,14.778,1009.247,0.001,340.254,0.208,8.359e6,10.16,81.073,0.01,0.022,0.005
0.581,19.844,34.844,71.648,71.73,117.261,120.83,0.058,-8.494e-6,0.058,90.008,3.432,29.149,59.75,17.15,2.143,0,2.489,0.004,81.073,89.999,1244.085,148.085,0.47,0.007,9.819,127.606,100.416,2.676,174.144,14.256,12.332,0.472,0.238,0.109,0.126,0.479,0.438,1.173,-4.421e-4,0,0,0,0,4.817e-4,5.091,90,14.774,1009.163,0.001,340.252,0.212,8.502e6,10.16,81.073,0.011,0.023,0.005
0.592,20.617,35.617,72.898,72.994,116.783,120.204,0.096,-8.612e-6,0.096,90.005,3.74,28.472,59.75,17.15,1.967,0,6.403,0.004,81.121,89.999,1243.106,147.106,0.47,0.007,9.819,127.805,100.371,2.7,173.699,14.231,12.741,0.472,0.237,0.109,0.126,0.477,0.4,1.078,-4.313e-4,0,0,0,0,0.003,5.097,90,14.768,1009.073,0.001,340.249,0.216,8.652e6,10.16,81.073,0.011,0.023,0.005
0.603,21.441,36.441,74.205,74.316,116.324,119.531,0.14,-8.564e-6,0.14,90.004,4.054,27.502,59.75,17.15,1.758,0,10.257,0.005,81.214,89.999,1242.079,146.079,0.469,0.007,9.819,128.045,100.324,2.728,173.232,14.204,13.172,0.472,0.236,0.109,0.126,0.476,0.355,0.963,3.385e-4,0,0,0,0,0.008,5.094,90,14.763,1008.976,0.001,340.245,0.22,8.809e6,10.16,81.073,0.012,0.023,0.005
0.615,22.348,37.348,75.61,75.737,115.857,118.793,0.191,-8.276e-6,0.191,90.002,4.379,26.245,59.75,17.15,1.523,0,14.057,0.005,81.362,89.999,1240.971,144.971,0.469,0.007,9.819,128.319,100.273,2.76,172.727,14.175,13.643,0.472,0.236,0.109,0.127,0.475,0.306,0.83,-3.189e-4,0,0,0,0,0.014,5.059,90,14.757,1008.87,0.001,340.242,0.224,8.977e6,10.16,81.073,0.014,0.024,0.006
0.629,23.38,38.38,77.173,77.317,115.38,117.951,0.252,-7.613e-6,0.252,90.002,4.723,24.492,59.75,17.15,1.227,0,17.736,0.006,81.577,89.998,1239.733,143.733,0.468,0.007,9.819,128.668,100.216,2.8,172.164,14.143,14.176,0.471,0.235,0.109,0.127,0.474,0.244,0.663,-4.996e-4,0,0,0,0,0.021,5.02,90,14.751,1008.749,0.001,340.238,0.229,9.163e6,10.16,81.073,0.003,0.024,0.006
0.632,23.65,38.65,77.574,77.723,115.263,117.732,0.269,-7.378e-6,0.269,90.002,4.807,23.987,59.75,17.15,1.147,0,18.57,0.007,81.641,89.998,1239.414,143.414,0.468,0.007,9.819,128.764,100.201,2.811,172.019,14.135,14.315,0.471,0.235,0.109,0.127,0.473,0.228,0.617,3.806e-4,0,0,0,0,0.023,5.01,90,14.749,1008.717,0.001,340.237,0.23,9.211e6,10.16,81.073,0.005,0.024,0.006
0.637,24.057,39.057,78.176,78.331,115.044,117.358,0.294,-6.971e-6,0.294,90.001,4.93,23.188,59.75,17.15,1.023,0,19.722,0.007,81.741,89.998,1238.942,142.942,0.468,0.007,9.819,128.912,100.18,2.828,171.747,14.118,14.524,0.471,0.235,0.109,0.127,0.473,0.202,0.546,3.661e-4,0,0,0,0,0.025,4.995,90,14.746,1008.669,0.001,340.235,0.232,9.283e6,10.16,81.073,0.008,0.025,0.006
0.645,24.673,39.673,79.077,79.241,114.72,116.795,0.334,-6.237e-6,0.334,90.001,5.107,21.92,59.75,17.15,0.834,0,21.216,0.007,81.901,89.998,1238.234,142.234,0.468,0.007,9.819,129.142,100.147,2.854,171.338,14.093,14.843,0.471,0.234,0.11,0.127,0.472,0.164,0.439,9.032e-5,0,0,0,0,0.029,4.973,90,14.742,1008.597,0.001,340.233,0.234,9.39e6,10.16,81.073,0.012,0.025,0.006
